N     ,"t=0.9, w=28.0, inertia=1","t=0.9, w=28.0, inertia=10","t=0.9, w=28.0, inertia=50","t=0.9, w=28.0, inertia=100","t=1.0, w=24.0, inertia=1","t=1.0, w=24.0, inertia=10","t=1.0, w=24.0, inertia=50","t=1.0, w=24.0, inertia=100","t=1.0, w=28.0, inertia=1","t=1.0, w=28.0, inertia=10","t=1.0, w=28.0, inertia=50","t=1.0, w=28.0, inertia=100"
3,8.1,14.65,29.399,54.95,7.1,13.35,25.949,38.449,6.35,11.95,24.449,36.449
4,5.05,8.5,16.099,21.899,4.4,7.6,14.7,19.949,3.9,6.85,13.4,18.299
5,3.65,5.65,10.4,13.95,3.15,5.05,9.4,12.8,2.8,4.55,8.55,11.7
6,2.85,4.15,7.25,9.85,2.45,3.7,6.55,8.85,2.15,3.35,5.95,8.15
7,2.3,3.2,5.45,7.25,2,2.85,4.9,6.55,1.749,2.55,4.5,6
8,1.95,2.6,4.3,5.6,1.699,2.3,3.85,5.1,1.499,2.05,3.5,4.65
9,1.699,2.15,3.45,4.5,1.449,1.9,3.15,4.1,1.249,1.699,2.85,3.75
10,1.499,1.85,2.9,3.7,1.299,1.649,2.6,3.35,1.099,1.449,2.35,3.05
11,1.349,1.599,2.45,3.15,1.149,1.399,2.2,2.85,0.999,1.249,2,2.6
12,1.199,1.399,2.1,2.7,1.049,1.249,1.9,2.4,0.9,1.099,1.699,2.2
13,1.099,1.249,1.85,2.35,0.95,1.099,1.649,2.1,0.8,0.95,1.499,1.9
14,0.999,1.149,1.649,2.05,0.85,0.999,1.449,1.85,0.75,0.85,1.299,1.649
15,0.95,0.999,1.449,1.799,0.8,0.9,1.299,1.649,0.7,0.8,1.149,1.499
16,0.85,0.95,1.299,1.599,0.75,0.8,1.149,1.449,0.65,0.7,1.049,1.299
17,0.8,0.85,1.199,1.449,0.7,0.75,1.049,1.299,0.6,0.65,0.95,1.199
18,0.75,0.8,1.099,1.349,0.65,0.7,0.95,1.199,0.55,0.6,0.85,1.049
19,0.75,0.75,0.999,1.199,0.6,0.65,0.9,1.099,0.55,0.55,0.8,0.999
20,0.7,0.7,0.9,1.099,0.6,0.6,0.8,0.999,0.5,0.5,0.7,0.9
21,0.65,0.65,0.85,0.999,0.55,0.55,0.75,0.9,0.5,0.5,0.65,0.8
22,0.65,0.6,0.8,0.95,0.55,0.55,0.7,0.85,0.45,0.45,0.6,0.75
23,0.6,0.6,0.75,0.9,0.5,0.5,0.65,0.8,0.45,0.45,0.6,0.7
24,0.6,0.55,0.7,0.8,0.5,0.45,0.6,0.75,0.4,0.4,0.55,0.65
25,0.55,0.5,0.65,0.75,0.45,0.45,0.55,0.7,0.4,0.4,0.5,0.6
26,0.55,0.5,0.6,0.7,0.45,0.4,0.55,0.65,0.4,0.35,0.45,0.55
27,0.5,0.45,0.55,0.7,0.45,0.4,0.5,0.6,0.35,0.35,0.45,0.55
28,0.5,0.45,0.55,0.65,0.4,0.4,0.5,0.55,0.35,0.35,0.4,0.5
29,0.5,0.45,0.5,0.6,0.4,0.35,0.45,0.55,0.35,0.3,0.4,0.5
30,0.45,0.4,0.5,0.55,0.4,0.35,0.45,0.5,0.35,0.3,0.4,0.45
