XY pos,Real EI1,Real EI2,Real EI3,Y sim,Y adjusted EI1,Kp=9 EI1,Kp=10 EI1,Kp=11 EI1,Kp=12 EI1,Kp=14 EI1,Kp=12.95 EI1,Y adjusted EI2,Kp=11 EI2,Kp=12 EI2,Kp=13 EI2,Kp=12.64 EI2,Y adjusted EI3,Kp=14 EI3,Kp=15 EI3,Kp=16 EI3,Kp=17.76 EI3
100,0.001,0.005,0.004,93,99,-0.000261351,-7.24E-05,-0.000115922,-1.55E-04,-0.000146367,8.43E-05,99.5,-4.02E-04,-1.90E-04,-0.000367048,2.59E-04,99.5,-0.000149767,-0.000139578,-0.000130745,-1.82E-17
99.75,0.002,0.011,0.005,92.75,98.75,0.0481914,0.052074,0.0549906,0.0575989,0.0618759,2.69E-02,99.25,0.0609295,6.39E-02,0.066559,0.0276534,99.25,0.0734842,0.0759281,0.0784347,2.85E-02
99.5,0.006,0.018,0.024,92.5,98.5,0.143591,0.151144,0.157841,0.163925,0.174247,7.97E-02,99,0.173045,1.80E-01,0.186705,0.0847103,99,0.207442,0.213709,0.219769,9.14E-02
99.25,0.011,0.085,0.107,92.25,98.25,0.24136,0.253131,0.263833,0.273614,0.290269,1.17E-01,98.75,0.288603,3.00E-01,0.310766,0.127248,98.75,0.346137,0.356518,0.366313,1.45E-01
99,0.032,0.174,0.213,92,98,0.336974,0.352908,0.367593,0.380981,0.403872,2.30E-01,98.5,0.401667,4.18E-01,0.43226,0.249327,98.5,0.482422,0.496821,0.510305,2.98E-01
98.75,0.106,0.257,0.323,91.75,97.75,0.435587,0.455836,0.474669,0.491774,0.521172,3.43E-01,98.25,0.51867,5.39E-01,0.557914,0.371667,98.25,0.623383,0.641976,0.65924,4.51E-01
98.5,0.184,0.35,0.444,91.5,97.5,0.531971,0.556465,0.579353,0.60004,0.635954,4.56E-01,98,0.633232,6.58E-01,0.681172,0.494552,98,0.761327,0.784001,0.805049,6.05E-01
98.25,0.263,0.455,0.577,91.25,97.25,0.631274,0.660119,0.687226,0.711686,0.754212,5.69E-01,97.75,0.751418,7.81E-01,0.808175,0.617855,97.75,0.903332,0.930231,0.955117,7.59E-01
98,0.353,0.567,0.718,91,97,0.728138,0.761308,0.792483,0.820623,0.869528,6.83E-01,97.5,0.866703,9.01E-01,0.932019,0.741532,97.5,1.04182,1.07274,1.10145,9.15E-01
97.75,0.45,0.688,0.862,90.75,96.75,0.827892,0.86539,0.900716,0.932634,0.988083,7.97E-01,97.25,0.985244,1.02E+00,1.05934,0.865495,97.25,1.18422,1.21931,1.2519,1.07E+00
97.5,0.558,0.812,1.01,90.5,96.5,0.924963,0.966797,1.00621,1.0418,1.10361,0.911287,97,1.10078,1.14402,1.18342,0.989764,97,1.323,1.36213,1.39848,1.22643
97.25,0.67,0.936,1.165,90.25,96.25,1.02519,1.07106,1.11464,1.154,1.22234,1.02572,96.75,1.21954,1.26735,1.31096,1.11427,96.75,1.4656,1.50888,1.54907,1.38255
97,0.788,1.062,1.324,90,96,1.12268,1.17266,1.22029,1.26331,1.33799,1.14026,96.5,1.33524,1.38751,1.43516,1.23889,96.5,1.60449,1.65178,1.69568,1.53876
96.75,0.908,1.195,1.484,89.75,95.75,1.22293,1.27707,1.32886,1.37563,1.4568,1.25E+00,96.25,1.45413,1.51E+00,1.56275,1.36361,96.25,1.74711,1.79849,1.84616,1.70E+00
96.5,1.022,1.325,1.643,89.5,95.5,1.3206,1.3788,1.43462,1.48504,1.5725,1.36955,96,1.56993,1.63115,1.68697,1.48842,96,1.8859,1.94119,1.99245,1.85148
96.25,1.137,1.45,1.795,89.25,95.25,1.42097,1.48333,1.54329,1.59743,1.69133,1.4843,95.75,1.68888,1.75462,1.81451,1.61333,95.75,2.02824,2.08742,2.1422,2.0079
96,1.251,1.574,1.95,89,95,1.51874,1.58515,1.64912,1.70687,1.807,1.5991,95.5,1.80469,1.87476,1.93862,1.73831,95.5,2.16638,2.22931,2.28769,2.1642
95.75,1.364,1.698,2.104,88.75,94.75,1.6192,1.68975,1.75782,1.81926,1.92572,1.71396,95.25,1.92358,1.99805,2.06584,1.86336,95.25,2.30809,2.37506,2.43718,2.32138
95.5,1.474,1.809,2.253,88.5,94.5,1.71705,1.79162,1.86367,1.92866,2.0412,1.82888,95,2.03924,2.11786,2.18939,1.98849,95,2.44614,2.51704,2.58281,2.47799
95.25,1.584,1.906,2.399,88.25,94.25,1.81756,1.89625,1.97233,2.04093,2.15954,1.94384,94.75,2.15777,2.24068,2.31625,2.11367,94.75,2.58801,2.66294,2.73245,2.63483
,,,,88,94,1.91543,1.99811,2.07806,2.15006,2.27172,2.0573,94.5,2.27309,2.36033,2.43985,2.23891,94.5,2.72624,2.8051,2.87824,2.7916
,,,,87.75,93.75,2.01593,2.10264,2.18646,2.25919,2.38936,2.1719,94.25,2.39163,2.48329,2.56686,2.36422,94.25,2.8683,2.95119,3.02805,2.94802
,,,,87.5,93.5,2.11371,2.20427,2.28915,2.36772,2.50429,2.28666,94,2.50712,2.60311,2.69061,2.48958,94,3.00673,3.09354,3.17402,3.1041
,,,,87.25,93.25,2.214,2.30582,2.39733,2.47955,2.62243,2.40154,93.75,2.62582,2.72625,2.81779,2.61498,93.75,3.14901,3.23985,3.31869,3.26019
